month,fence,band,seed,u_mean,ew,p5,cvar5
202001,b040,0.4,101,0.1367088258266449,81703.453125,-28268.7734375,-62409.625
202001,b060,0.6,101,0.13537880778312683,85851.6640625,-61537.2734375,-102640.7421875
202001,free,,101,0.110096774995327,94316.6171875,-132510.640625,-192005.21875
202002,b040,0.4,101,0.029208652675151825,35373.984375,-105663.515625,-137887.21875
202002,b060,0.6,101,0.022728178650140762,42486.4765625,-135562.0,-178840.71875
202002,free,,101,-0.005749180912971497,55677.64453125,-184003.609375,-255000.15625
202003,b040,0.4,101,-0.0694630891084671,-10119.166015625,-133201.515625,-163124.859375
202003,b060,0.6,101,-0.09149748086929321,-6405.66015625,-166876.546875,-207595.0625
202003,free,,101,-0.12011678516864777,1469.3746337890625,-205124.546875,-263005.28125
202004,b040,0.4,101,-0.03211349621415138,-16891.49609375,-114886.171875,-138758.53125
202004,b060,0.6,101,-0.04088173434138298,-18227.1484375,-141856.703125,-171446.140625
202004,free,,101,-0.055836815387010574,-19034.95703125,-177585.796875,-225023.453125
202005,b040,0.4,101,0.17925164103507996,118228.921875,6151.13671875,-21486.755859375
202005,b060,0.6,101,0.1783687025308609,119914.078125,-23880.873046875,-65541.0703125
202005,free,,101,0.16360972821712494,122202.078125,-98464.7578125,-151325.625
202006,b040,0.4,101,0.27473145723342896,193215.8125,69460.6484375,32219.384765625
202006,b060,0.6,101,0.27703672647476196,195455.375,25110.177734375,-19256.599609375
202006,free,,101,0.26954662799835205,200071.71875,-83991.6171875,-139221.59375
202007,b040,0.4,101,0.12832477688789368,65965.4765625,-7363.83935546875,-45781.4140625
202007,b060,0.6,101,0.12459751963615417,65954.125,-26619.6640625,-70015.6484375
202007,free,,101,0.10255730152130127,66042.5,-75830.8046875,-136174.90625
202008,b040,0.4,101,0.16590836644172668,115842.625,-10842.388671875,-45805.57421875
202008,b040,0.4,202,0.16971153020858765,118260.375,-16460.224609375,-45265.7109375
202008,b040,0.4,303,0.16716772317886353,117128.0390625,-13729.474609375,-51916.3125
202008,b060,0.6,101,0.16623851656913757,119245.5546875,-45611.48046875,-87663.7265625
202008,b060,0.6,202,0.16956819593906403,121544.453125,-48760.2265625,-91153.8671875
202008,b060,0.6,303,0.16559958457946777,120308.1171875,-44002.05859375,-102187.171875
202008,free,,101,0.13863490521907806,121430.640625,-127135.2578125,-194359.703125
202008,free,,202,0.1511823534965515,128271.125,-126019.1171875,-188393.40625
202008,free,,303,0.1411394625902176,126064.421875,-141387.15625,-212683.34375
202009,b040,0.4,101,0.12737318873405457,87927.796875,-27685.158203125,-71090.6875
202009,b060,0.6,101,0.122658871114254,89105.359375,-62190.3671875,-112734.2265625
202009,free,,101,0.09834308177232742,92693.46875,-134542.625,-197901.109375
202010,b040,0.4,101,0.10744669288396835,80462.7265625,-11330.4287109375,-44024.57421875
202010,b060,0.6,101,0.10477226227521896,80170.1953125,-30365.865234375,-71841.265625
202010,free,,101,0.09527336061000824,81577.484375,-83680.234375,-138423.984375
202011,b040,0.4,101,0.04506921023130417,44279.5625,-102620.8828125,-152404.90625
202011,b040,0.4,202,0.042680732905864716,45025.9453125,-101383.546875,-160806.5
202011,b040,0.4,303,0.04573851823806763,44801.19921875,-100124.28125,-154699.15625
202011,b060,0.6,101,0.029721040278673172,47034.4453125,-127821.4375,-188392.46875
202011,b060,0.6,202,0.02490263245999813,47920.4765625,-133531.3125,-199868.484375
202011,b060,0.6,303,0.030191343277692795,47715.13671875,-133133.875,-191168.0625
202011,free,,101,-0.012927388772368431,51065.7421875,-182228.578125,-247028.15625
202011,free,,202,-0.02574050985276699,51830.7890625,-182906.515625,-265809.3125
202011,free,,303,-0.01281600259244442,51881.59375,-186005.125,-249417.921875
202012,b040,0.4,101,0.15270400047302246,111473.140625,-24805.17578125,-71369.390625
202012,b060,0.6,101,0.14680764079093933,113469.296875,-72005.0703125,-127347.9453125
202012,free,,101,0.11202678084373474,116300.578125,-166259.6875,-231980.078125
202101,b040,0.4,101,0.06121520698070526,56538.99609375,-80434.15625,-142729.59375
202101,b060,0.6,101,0.05166534334421158,59106.25,-114151.796875,-188549.8125
202101,free,,101,0.008676471188664436,62944.703125,-198733.9375,-288641.21875
202102,b040,0.4,101,0.12944714725017548,138636.265625,-30243.07421875,-95465.4765625
202102,b040,0.4,202,0.1338721066713333,143479.28125,-35439.125,-100048.6796875
202102,b040,0.4,303,0.13560712337493896,144397.78125,-35920.74609375,-89704.6328125
202102,b060,0.6,101,0.1272776573896408,143031.734375,-74350.9375,-160419.65625
202102,b060,0.6,202,0.13215777277946472,148278.953125,-76211.5234375,-166794.484375
202102,b060,0.6,303,0.1352538764476776,150099.25,-87068.6484375,-153957.03125
202102,free,,101,0.1059563159942627,152516.6875,-199841.859375,-307995.46875
202102,free,,202,0.10969497263431549,159338.859375,-206296.390625,-326001.125
202102,free,,303,0.12251549959182739,165117.8125,-203426.03125,-293543.25
202103,b040,0.4,101,-0.06578950583934784,-10774.3798828125,-221046.78125,-280568.96875
202103,b060,0.6,101,-0.09597574174404144,-9431.1572265625,-274164.25,-349627.8125
202103,free,,101,-0.14512395858764648,-2826.440673828125,-350671.875,-448754.25
202104,b040,0.4,101,0.1155208945274353,105469.9375,-44025.59765625,-106780.3828125
202104,b060,0.6,101,0.10937109589576721,108378.703125,-86556.96875,-169735.125
202104,free,,101,0.07081417739391327,115527.5625,-209727.03125,-313868.28125
202105,b040,0.4,101,0.05952584743499756,72688.515625,-140986.890625,-212254.015625
202105,b040,0.4,202,0.060024797916412354,73818.21875,-128247.8125,-212499.375
202105,b040,0.4,303,0.0650518387556076,75874.7421875,-127983.6015625,-204072.71875
202105,b060,0.6,101,0.03596992790699005,77553.421875,-198499.140625,-288483.125
202105,b060,0.6,202,0.032872527837753296,77942.9140625,-196976.890625,-295923.28125
202105,b060,0.6,303,0.04268303140997887,80482.46875,-181675.109375,-279627.3125
202105,free,,101,-0.039940983057022095,89494.625,-312661.84375,-430269.375
202105,free,,202,-0.05440443009138107,84742.625,-315603.46875,-440638.53125
202105,free,,303,-0.03430814668536186,91867.3359375,-303333.59375,-426342.34375
202106,b040,0.4,101,0.09562498331069946,90303.9609375,-98826.78125,-167546.5
202106,b060,0.6,101,0.07105360925197601,91498.5234375,-159788.90625,-251741.65625
202106,free,,101,-0.009391147643327713,97525.9296875,-297533.21875,-403049.0625
202107,b040,0.4,101,0.09814498573541641,85436.09375,-51168.67578125,-115562.25
202107,b060,0.6,101,0.08815127611160278,86413.7734375,-86558.2109375,-172139.984375
202107,free,,101,0.046348631381988525,91128.875,-193705.828125,-299108.59375
202108,b040,0.4,101,0.012632090598344803,41030.0625,-155090.3125,-214007.484375
202108,b060,0.6,101,-0.017784852534532547,44267.2890625,-204892.390625,-283735.34375
202108,free,,101,-0.08360506594181061,55454.0390625,-287582.9375,-388253.84375
202109,b040,0.4,101,-0.034629154950380325,13389.890625,-163782.28125,-213552.78125
202109,b060,0.6,101,-0.06768985092639923,15482.427734375,-209591.78125,-273035.625
202109,free,,101,-0.13014772534370422,22570.43359375,-279712.625,-361399.34375
202110,b040,0.4,101,0.06270749866962433,56609.6640625,-86335.671875,-139226.546875
202110,b060,0.6,101,0.04586174711585045,58115.609375,-126966.1875,-194156.546875
202110,free,,101,-0.03165385499596596,61898.625,-222161.390625,-334812.28125
202111,b040,0.4,101,0.002511805621907115,36298.4453125,-156602.078125,-220281.703125
202111,b060,0.6,101,-0.029519926756620407,40328.73828125,-212436.890625,-290447.34375
202111,free,,101,-0.11779531091451645,47989.6484375,-306381.59375,-402546.25
202112,b040,0.4,101,-0.06598193943500519,859.6911010742188,-164567.171875,-217230.3125
202112,b060,0.6,101,-0.1057291328907013,3288.150634765625,-210754.265625,-279754.40625
202112,free,,101,-0.1912667453289032,8597.5947265625,-285199.28125,-381780.75
202201,b040,0.4,101,-0.044270291924476624,11044.9921875,-132836.140625,-187106.015625
202201,b060,0.6,101,-0.08268844336271286,13070.4521484375,-173068.6875,-238059.8125
202201,free,,101,-0.1977444738149643,18340.91015625,-255317.5,-347301.15625
202202,b040,0.4,101,0.019205942749977112,44090.25,-149551.609375,-204610.203125
202202,b040,0.4,202,0.025488801300525665,46186.1640625,-139022.1875,-197203.96875
202202,b040,0.4,303,0.026886047795414925,47323.984375,-141342.25,-193504.28125
202202,b060,0.6,101,-0.011608576402068138,47947.58203125,-197480.78125,-275081.375
202202,b060,0.6,202,-0.008524209260940552,48675.32421875,-201045.59375,-273667.3125
202202,b060,0.6,303,-0.0008152341470122337,51823.4296875,-195013.703125,-259860.625
202202,free,,101,-0.10382671654224396,56725.828125,-304155.71875,-399383.6875
202202,free,,202,-0.10774482041597366,55719.328125,-304036.59375,-408921.40625
202202,free,,303,-0.08187786489725113,62612.171875,-290205.625,-375172.59375
202203,b040,0.4,101,-0.06878383457660675,886.0988159179688,-195690.78125,-250430.015625
202203,b060,0.6,101,-0.1131150871515274,3500.792236328125,-252291.03125,-327620.4375
202203,free,,101,-0.21487124264240265,12235.26953125,-362318.40625,-457035.21875
202204,b040,0.4,101,-0.034303292632102966,9277.8876953125,-158852.921875,-210694.375
202204,b060,0.6,101,-0.0644884780049324,10310.00390625,-206437.125,-275095.375
202204,free,,101,-0.17615219950675964,14132.6474609375,-318522.5,-438330.96875
202205,b040,0.4,101,0.09608805179595947,82190.46875,-89317.3984375,-154727.953125
202205,b060,0.6,101,0.07519493252038956,85298.9609375,-144782.15625,-223742.171875
202205,free,,101,-0.002417486859485507,97955.25,-260209.15625,-361076.75
202206,b040,0.4,101,0.13966208696365356,110677.171875,-67521.59375,-122797.828125
202206,b060,0.6,101,0.12267830222845078,113080.6171875,-125056.09375,-199511.359375
202206,free,,101,0.03378632292151451,123677.578125,-268429.1875,-377767.03125
202207,b040,0.4,101,-0.198940247297287,-57597.484375,-188503.984375,-227600.15625
202207,b040,0.4,202,-0.20524483919143677,-60917.28515625,-185835.03125,-226437.84375
202207,b040,0.4,303,-0.20942732691764832,-60954.9375,-191515.546875,-236739.609375
202207,b060,0.6,101,-0.23742005228996277,-57693.87109375,-226905.546875,-275690.8125
202207,b060,0.6,202,-0.2438386082649231,-60667.68359375,-225156.28125,-275118.625
202207,b060,0.6,303,-0.24777483940124512,-59696.47265625,-229218.234375,-286998.34375
202207,free,,101,-0.3401164412498474,-55808.2109375,-308371.96875,-383392.40625
202207,free,,202,-0.3447346091270447,-56648.578125,-305107.625,-380719.78125
202207,free,,303,-0.3627728521823883,-58682.91015625,-320161.59375,-398590.21875
202208,b040,0.4,101,0.02323690429329872,40296.8359375,-124069.0078125,-179050.390625
202208,b060,0.6,101,-0.01529660914093256,42744.1171875,-177226.75,-249196.609375
202208,free,,101,-0.11457550525665283,53266.53515625,-258094.140625,-365565.53125
202209,b040,0.4,101,-0.404954195022583,-95598.609375,-228809.46875,-270161.40625
202209,b060,0.6,101,-0.4628686308860779,-94525.96875,-269325.75,-320963.125
202209,free,,101,-0.5647484660148621,-89807.46875,-335986.96875,-408164.9375
202210,b040,0.4,101,0.20030634105205536,142451.25,12296.689453125,-33767.83203125
202210,b060,0.6,101,0.19830374419689178,144738.765625,-34273.484375,-91436.46875
202210,free,,101,0.17401930689811707,153144.75,-137080.921875,-223277.703125
202211,b040,0.4,101,0.2615146040916443,196029.984375,40198.328125,-2466.6220703125
202211,b060,0.6,101,0.24301564693450928,185422.296875,-22203.47265625,-81456.0
202211,free,,101,0.1147155612707138,144475.9375,-212448.140625,-307725.75
202212,b040,0.4,101,0.05378551036119461,62633.53515625,-117941.5625,-176340.046875
202212,b060,0.6,101,0.03599607199430466,66240.46875,-174494.140625,-248906.09375
202212,free,,101,-0.04300939291715622,74716.46875,-299631.0,-411271.0625
202301,b040,0.4,101,0.1894228309392929,141342.5625,799.7827758789062,-53297.3203125
202301,b040,0.4,202,0.18706855177879333,139208.703125,-7794.9619140625,-51326.92578125
202301,b040,0.4,303,0.1810365915298462,135810.59375,-7837.0703125,-62155.29296875
202301,b060,0.6,101,0.18491804599761963,143213.5625,-43842.34765625,-116026.0
202301,b060,0.6,202,0.18196654319763184,140482.796875,-52832.6484375,-114276.6640625
202301,b060,0.6,303,0.1725839078426361,135933.609375,-53903.81640625,-126562.8203125
202301,free,,101,0.1473349928855896,149590.84375,-171413.09375,-270387.3125
202301,free,,202,0.12983310222625732,140822.78125,-176761.46875,-281310.09375
202301,free,,303,0.11796822398900986,137139.21875,-190196.125,-292735.1875
202302,b040,0.4,101,-0.04991331696510315,3522.17919921875,-162687.71875,-207414.5
202302,b060,0.6,101,-0.09122886508703232,4346.4794921875,-213315.765625,-276845.3125
202302,free,,101,-0.21195165812969208,10613.2158203125,-321515.21875,-422491.40625
202303,b040,0.4,101,-0.04098684340715408,8509.1044921875,-153765.375,-200165.046875
202303,b060,0.6,101,-0.07974430918693542,9996.919921875,-196354.078125,-264876.25
202303,free,,101,-0.18798813223838806,13276.0263671875,-296018.40625,-392198.90625
202304,b040,0.4,101,-0.05911201238632202,1764.274169921875,-154492.234375,-198675.765625
202304,b060,0.6,101,-0.10534822195768356,1417.7723388671875,-199064.78125,-260098.09375
202304,free,,101,-0.2575066089630127,917.4111328125,-306949.8125,-415529.21875
202305,b040,0.4,101,0.013852443546056747,42878.76171875,-154711.609375,-213227.125
202305,b060,0.6,101,-0.028403304517269135,44075.3515625,-210831.6875,-292862.90625
202305,free,,101,-0.1577676683664322,51007.421875,-329449.625,-441282.5625
202306,b040,0.4,101,-0.009667538106441498,24627.8515625,-144287.984375,-194845.984375
202306,b060,0.6,101,-0.051799580454826355,24563.98828125,-201236.546875,-269355.3125
202306,free,,101,-0.18582943081855774,24514.134765625,-311012.0,-419739.53125
202307,b040,0.4,101,0.007706336677074432,25695.916015625,-103694.2265625,-152495.6875
202307,b060,0.6,101,-0.024408144876360893,26656.966796875,-145464.0,-208917.25
202307,free,,101,-0.14364157617092133,26701.240234375,-229198.53125,-333234.65625
202308,b040,0.4,101,-0.014621078036725521,27914.921875,-149988.375,-201269.484375
202308,b060,0.6,101,-0.07740359008312225,25843.30078125,-209700.171875,-278826.375
202308,free,,101,-0.30436280369758606,19547.97265625,-342806.15625,-446022.1875
202309,b040,0.4,101,-0.14267924427986145,-22081.978515625,-188485.796875,-233496.46875
202309,b060,0.6,101,-0.2072499394416809,-21290.03125,-245340.90625,-302920.0
202309,free,,101,-0.360357403755188,-19408.287109375,-342715.03125,-430716.28125
202310,b040,0.4,101,-0.21019016206264496,-59322.28125,-200438.875,-246932.546875
202310,b060,0.6,101,-0.26393187046051025,-59712.16015625,-247645.390625,-312426.625
202310,free,,101,-0.392791211605072,-59907.81640625,-351056.28125,-436211.84375
202311,b040,0.4,101,-0.047466229647397995,14423.4892578125,-160481.5625,-210312.65625
202311,b060,0.6,101,-0.09978963434696198,15520.58984375,-214355.078125,-278453.1875
202311,free,,101,-0.2806686460971832,15296.70703125,-322101.3125,-420824.5
202312,b040,0.4,101,-0.03516018018126488,13624.380859375,-153121.609375,-198880.625
202312,b040,0.4,202,-0.051889970898628235,9393.341796875,-161420.109375,-218610.3125
202312,b040,0.4,303,-0.057651206851005554,8665.083984375,-165786.5625,-227439.734375
202312,b060,0.6,101,-0.08377254009246826,12541.41796875,-204447.40625,-266869.625
202312,b060,0.6,202,-0.10533039271831512,8403.5283203125,-215987.546875,-292094.71875
202312,b060,0.6,303,-0.1136099100112915,7523.380859375,-220260.015625,-298424.65625
202312,free,,101,-0.21398387849330902,11590.98046875,-299611.78125,-391279.53125
202312,free,,202,-0.25284281373023987,6193.4521484375,-320431.3125,-421507.03125
202312,free,,303,-0.27189308404922485,5816.8017578125,-330924.46875,-442445.4375
