tag,band,diag_greedy_oz,replay_full_oz,im_drag_oz,cal_rebate_oz,turnover_tot_oz,gross_oz,turnover_PL_M1_oz,turnover_PL_M2_oz,turnover_PL_M3_oz
202001,0.15,-1.0863,-1.0863,0.0852,0.8766,3.4429,1.5652,0.4666,0.692,2.2843
202002,0.15,-47.2301,-47.2301,0.0772,0.2176,1.3723,-45.9983,0.4158,0.6595,0.2971
202003,0.15,-27.2464,-27.2464,0.0773,0.7032,2.5237,-25.3486,0.3945,0.6726,1.4566
202004,0.15,-12.2748,-12.2748,0.1534,1.9403,5.3094,-8.7523,0.6047,1.8015,2.9032
202005,0.15,64.8655,64.8655,0.1684,0.3589,1.6066,66.2816,0.6664,0.9402,0.0
202006,0.15,100.9207,100.9207,0.1713,0.7442,2.6736,103.0214,0.6477,0.9185,1.1073
202007,0.15,45.6589,45.6589,0.1309,2.5604,7.7892,51.0187,0.147,2.0103,5.6319
202008,0.15,-10.5414,-10.5414,0.1611,0.0,3.5703,-6.8099,0.0,0.0,3.5703
202009,0.15,17.3646,17.3646,0.123,0.6268,3.4024,20.2632,0.0,1.0266,2.3758
202010,0.15,9.7198,9.7198,0.1452,0.0,3.9632,13.8282,0.5491,0.0,3.4141
202011,0.15,76.4826,76.4826,0.1571,0.0,3.9146,80.5543,0.5543,0.0,3.3603
202012,0.15,106.2937,106.2937,0.1713,1.246,4.8029,110.0219,0.6237,1.2707,2.9085
202101,0.15,69.9963,69.9963,0.1507,1.5393,5.961,74.5687,0.6035,1.1225,4.2351
202102,0.15,58.0512,58.0512,0.1531,0.0,4.3397,62.544,0.6046,0.0,3.7351
202103,0.15,24.1816,24.1816,0.1324,1.3928,5.4661,28.3873,0.6063,1.0243,3.8355
202104,0.15,62.0543,62.0543,0.1454,2.6145,6.4724,66.0576,0.6823,2.3503,3.4398
202105,0.15,0.4592,0.4592,0.147,0.5465,2.2463,2.306,0.6105,0.8969,0.7389
202106,0.15,26.5614,26.5614,0.1271,1.2652,4.8769,30.3002,0.6039,0.9056,3.3674
202107,0.15,2.195,2.195,0.1308,0.8725,5.0446,6.4978,0.6071,0.8485,3.589
202108,0.15,22.2928,22.2928,0.1328,0.542,2.1859,24.0695,0.5585,0.9076,0.7197
202109,0.15,8.9029,8.9029,0.1245,1.3043,4.6528,12.3759,0.5456,0.9461,3.1612
202110,0.15,19.8498,19.8498,0.1464,1.2469,5.0465,23.7958,0.5937,1.048,3.4048
202111,0.15,-11.057,-11.057,0.1525,1.0337,4.1222,-7.816,0.5843,0.8469,2.6911
202112,0.15,11.9672,11.9672,0.1466,3.255,10.0158,18.8746,0.5663,2.0043,7.4452
202201,0.15,-2.8296,-2.8296,0.1296,1.3095,4.6024,0.5929,0.5675,0.9767,3.0582
202202,0.15,4.4878,4.4878,0.1344,0.4146,1.7909,5.9984,0.5276,0.8719,0.3914
202203,0.15,4.8769,4.8769,0.1147,1.2269,4.4996,8.2643,0.3196,1.5915,2.5885
202204,0.15,-13.8363,-13.8363,0.116,2.2128,6.0796,-9.8535,0.3684,2.4457,3.2654
202205,0.15,44.0899,44.0899,0.1178,0.6528,2.5537,46.1086,0.4964,1.0205,1.0368
202206,0.15,41.7608,41.7608,0.1154,2.0178,5.6698,45.5282,0.5215,1.3544,3.7938
202207,0.15,-58.9657,-58.9657,0.1162,2.2422,5.7671,-55.3247,0.5013,1.8603,3.4055
202208,0.15,4.5843,4.5843,0.1099,0.3155,1.9444,6.323,0.4854,1.0779,0.381
202209,0.15,-20.6386,-20.6386,0.1142,1.1956,4.4951,-17.2249,0.4678,0.8727,3.1546
202210,0.15,59.6642,59.6642,0.147,1.9212,8.1412,66.0312,0.5376,0.939,6.6645
202211,0.15,93.6903,93.6903,0.1498,3.2326,9.1874,99.7949,0.0,2.2887,6.8988
202212,0.15,4.4725,4.4725,0.1556,1.8578,8.1372,10.9074,0.6107,0.9051,6.6215
202301,0.15,41.1566,41.1566,0.1709,3.1517,9.6328,47.8085,0.0868,2.348,7.1981
202302,0.15,8.9101,8.9101,0.1642,2.2005,7.2407,14.1145,0.6152,2.5689,4.0567
202303,0.15,24.0687,24.0687,0.1496,0.0,4.0872,28.3055,0.59,0.0,3.4972
202304,0.15,-3.0444,-3.0444,0.1521,1.7198,8.0183,3.4062,0.6109,0.836,6.5713
202305,0.15,17.9687,17.9687,0.1344,2.4606,6.8723,22.5148,1.1776,2.6549,3.0398
202306,0.15,12.6525,12.6525,0.1238,1.7896,7.5026,18.4892,0.5368,0.8697,6.0961
202307,0.15,-3.6851,-3.6851,0.1229,1.5824,7.0805,1.936,0.517,0.7683,5.7953
202308,0.15,14.6024,14.6024,0.1075,1.5408,5.2457,18.4148,0.5051,1.9363,2.8043
202309,0.15,-16.6653,-16.6653,0.0995,1.5956,6.8284,-11.3331,0.4747,0.7751,5.5786
202310,0.15,0.3948,0.3948,0.1109,1.7174,7.2612,6.0495,0.4854,0.8309,5.9448
202311,0.15,6.5103,6.5103,0.1097,0.3417,4.1164,10.3946,0.454,0.9135,2.7489
202312,0.15,-6.6938,-6.6938,0.1142,1.5886,6.9198,-1.2484,0.4939,0.7711,5.6548
202001,0.6,-116.6717,-116.6717,0.0612,0.4981,2.665,-114.4436,0.2651,0.3931,2.0067
202002,0.6,-95.9642,-95.9642,0.045,0.0343,1.2062,-94.7474,0.2362,0.3756,0.5943
202003,0.6,-35.0458,-35.0458,0.0494,0.3286,2.7084,-32.6166,0.224,0.3822,2.1022
202004,0.6,6.0597,6.0597,0.1013,1.2027,4.2932,9.2516,0.3431,1.0499,2.9003
202005,0.6,117.8491,117.8491,0.0934,0.2039,1.1711,118.9096,0.6249,0.5461,0.0
202006,0.6,141.6382,141.6382,0.1099,0.5815,3.4876,144.6542,0.368,0.5142,2.6054
202007,0.6,78.9084,78.9084,0.1128,1.4045,6.7169,84.3335,0.0744,0.9757,5.6667
202008,0.6,-33.1894,-33.1894,0.1621,0.0,3.6025,-29.4248,0.0,0.0,3.6025
202009,0.6,48.5773,48.5773,0.0853,0.5055,6.9116,55.0687,0.0,0.5808,6.3308
202010,0.6,-9.5279,-9.5279,0.1262,0.0,5.0033,-4.3984,0.3113,0.0,4.692
202011,0.6,193.5054,193.5054,0.1115,0.0,4.0293,197.6463,0.3149,0.0,3.7144
202012,0.6,132.679,132.679,0.1325,0.7288,5.6613,137.744,0.5404,1.2877,3.8332
202101,0.6,77.186,77.186,0.1258,0.8746,6.7562,83.1934,0.3429,0.6378,5.7755
202102,0.6,120.3986,120.3986,0.1117,0.0,4.0477,124.558,0.3435,0.0,3.7042
202103,0.6,59.3395,59.3395,0.1043,0.6523,5.6168,64.4083,0.3438,0.5817,4.6914
202104,0.6,19.0185,19.0185,0.098,1.4044,6.2562,23.9684,0.3877,2.4288,3.4398
202105,0.6,-97.9178,-97.9178,0.0938,0.104,3.1665,-94.7614,0.3466,0.5138,2.3061
202106,0.6,-55.9017,-55.9017,0.0942,0.6218,6.4161,-50.0132,0.3431,0.5155,5.5574
202107,0.6,-40.5573,-40.5573,0.0977,0.0,5.1798,-35.2798,0.345,0.0,4.8348
202108,0.6,79.8514,79.8514,0.0874,0.168,3.1111,82.8819,0.3171,0.5152,2.2788
202109,0.6,32.7705,32.7705,0.0974,0.7685,4.028,36.1274,0.31,0.537,3.181
202110,0.6,-6.018,-6.018,0.1235,0.0,4.5211,-1.3734,0.3373,0.6205,3.5632
202111,0.6,-40.8463,-40.8463,0.1059,0.46,4.3518,-36.8485,0.332,0.4237,3.5962
202112,0.6,146.5043,146.5043,0.1176,1.3586,9.9359,155.199,0.3218,1.1387,8.4753
202201,0.6,-0.9063,-0.9063,0.0862,0.744,3.9407,2.3766,0.3224,0.5549,3.0634
202202,0.6,-66.4097,-66.4097,0.0814,0.0456,2.4001,-63.9738,0.2996,0.494,1.6065
202203,0.6,7.6579,7.6579,0.074,0.1754,5.9026,13.459,0.1237,0.7703,5.0085
202204,0.6,-55.2159,-55.2159,0.0716,1.1626,5.8035,-50.5035,0.1426,1.2565,4.4044
202205,0.6,104.8583,104.8583,0.0804,0.8235,3.227,107.3422,0.282,0.9042,2.0408
202206,0.6,38.6466,38.6466,0.0727,0.6171,5.751,43.8533,0.2964,0.922,4.5326
202207,0.6,-36.8261,-36.8261,0.0881,1.7448,5.5752,-32.9076,0.2848,1.5028,3.7875
202208,0.6,52.3116,52.3116,0.0708,0.1793,2.631,54.8342,0.2758,2.3552,0.0
202209,0.6,-23.2886,-23.2886,0.0828,0.7042,6.65,-17.2599,0.2661,1.2496,5.1344
202210,0.6,99.9734,99.9734,0.1418,1.0916,7.4471,106.4708,0.3055,0.5336,6.6081
202211,0.6,68.9942,68.9942,0.1354,2.3449,9.2598,76.0445,0.0,2.3128,6.947
202212,0.6,-8.5992,-8.5992,0.1251,0.9272,7.5187,-1.8826,0.347,0.5129,6.6589
202301,0.6,-1.4318,-1.4318,0.1764,1.6551,9.5412,6.6308,0.3612,1.9495,7.2306
202302,0.6,-19.6822,-19.6822,0.1206,1.1594,7.0526,-13.6684,0.6066,1.9486,4.4974
202303,0.6,121.6761,121.6761,0.1279,0.0,4.0936,125.8976,0.6663,0.0,3.4273
202304,0.6,53.1592,53.1592,0.1456,0.9771,7.3838,59.7115,0.3471,0.475,6.5617
202305,0.6,22.7009,22.7009,0.1025,1.2497,8.0593,29.613,0.842,2.3056,4.9116
202306,0.6,5.8656,5.8656,0.1029,1.0168,6.8825,11.8341,0.3051,0.4941,6.0833
202307,0.6,-3.9961,-3.9961,0.1169,0.8991,6.6287,1.8504,0.3697,0.4365,5.8225
202308,0.6,39.3437,39.3437,0.1094,0.6316,5.1635,43.985,0.4044,1.934,2.8251
202309,0.6,-33.498,-33.498,0.0858,0.9066,6.3238,-27.9951,0.2697,0.4404,5.6137
202310,0.6,27.0745,27.0745,0.1061,0.9758,6.697,32.9017,0.2758,0.4721,5.9491
202311,0.6,15.425,15.425,0.0915,0.764,4.436,19.1886,0.4079,1.2563,2.7718
202312,0.6,25.8784,25.8784,0.1144,0.9026,6.6601,31.7503,0.5582,0.4381,5.6638
