Date,PL1,OPEN_INT,,Date,PL2,OPEN_INT,,Date,PL3,OPEN_INT
46015.58333,2311,,,46015.58333,2337.5,,,46015.58333,2361.7,
46017.58333,2439.3,,,46017.58333,2462.5,,,46020.58333,2276.6,
46020.58333,2233.6,,,46020.58333,2250.6,,,46021.58333,2294.7,
46024.58333,2124.6,,,46021.58333,2267.9,,,46027.58333,2284.6,
46051.58333,2798.1,,,46022.58333,2059.6,,,46031.58333,2295.1,
46052.58333,2282.1,,,46024.58333,2132.8,,,46034.58333,2402.9,
46055.58333,2144.4,,,46027.58333,2262.5,,,46036.58333,2429.6,
46056.58333,2247.5,,,46028.58333,2360.2,,,46037.58333,2368.8,
46057.58333,2291.5,,,46029.58333,2295.2,,,46041.58333,2389.9,
46058.58333,2032.7,,,46030.58333,2201.7,,,46042.58333,2429.2,
46059.58333,2046.6,,,46031.58333,2277.2,,,46043.58333,2520.2,
46062.58333,2083.9,,,46034.58333,2391.6,,,46045.58333,2731.6,
46063.58333,2111.6,,,46035.58333,2403.7,,,46048.58333,2850.6,
46064.58333,2167.9,,,46036.58333,2411.5,,,46049.58333,2680.2,
46065.58333,2117.6,,,46037.58333,2352.2,,,46050.58333,2697.1,
46066.58333,2052.7,,,46038.58333,2295,,,46058.58333,2056.4,
46069.58333,2028.1,,,46041.58333,2372,,,46059.58333,2071,
46070.58333,1997,,,46042.58333,2408.2,,,46078.58333,2369.8,
46071.58333,2079.5,,,46043.58333,2500.1,,,46079.58333,2306.3,
46072.58333,2074.3,,,46044.58333,2521.7,,,46084.58333,2155.8,
46073.58333,2136.9,,,46045.58333,2708.9,,,46093.58333,2185.3,
46076.58333,2147.7,,,46048.58333,2819.3,,,46101.58333,2007.2,
46077.58333,2148.5,,,46049.58333,2657.5,,,46111.58333,1937.4,
46078.58333,2331.7,,,46050.58333,2671.8,,,46113.58333,1978.7,
46079.58333,2266.1,,,46052.58333,2301.9,,,46121.58333,2065.4,
46080.58333,2383.3,,,46056.58333,2263.8,,,46126.58333,2104.6,
46083.58333,2346.5,,,46058.58333,2050.2,,,46127.58333,2139.4,
46084.58333,2114,,,46059.58333,2068.8,,,46136.58333,2018.8,
46085.58333,2177.1,,,46062.58333,2101.4,,,46139.58333,2016.8,
46086.58333,2146.3,,,46065.58333,2137.2,,,46140.58333,1978.8,
46087.58333,2107.8,,,46070.58333,2021.4,,,46153.58333,2118.3,
46090.58333,2132.4,,,46071.58333,2101.2,,,46199.58333,1644.5,
46091.58333,2214.7,,,46073.58333,2158.8,,,,,
46092.58333,2198.7,,,46076.58333,2170.1,,,,,
46093.58333,2145.9,,,46077.58333,2175,,,,,
46094.58333,2070.6,,,46078.58333,2364.3,,,,,
46097.58333,2111,,,46079.58333,2295.8,,,,,
46098.58333,2160.9,,,46083.58333,2373.7,,,,,
46099.58333,2061.7,,,46084.58333,2144,,,,,
46100.58333,1920.4,,,46086.58333,2171.8,,,,,
46101.58333,1970.5,,,46087.58333,2133,,,,,
46104.58333,1883.7,,,46090.58333,2156.7,,,,,
46105.58333,1874.5,,,46092.58333,2223.8,,,,,
46106.58333,1937.3,,,46093.58333,2172.5,,,,,
46107.58333,1851,,,46094.58333,2096.2,,,,,
46111.58333,1900,,,46097.58333,2129.8,,,,,
46141.58333,1908,,,46098.58333,2183.4,,,,,
46142.58333,1961.9,,,46099.58333,2086.7,,,,,
46143.58333,1995.4,,,46100.58333,1948.4,,,,,
46146.58333,1976,,,46101.58333,1993.3,,,,,
46147.58333,1990.5,,,46104.58333,1906.5,,,,,
46148.58333,2036.7,,,46105.58333,1894.6,,,,,
46149.58333,2111.9,,,46106.58333,1954.3,,,,,
46150.58333,2054.8,,,46107.58333,1870.9,,,,,
46153.58333,2086.1,,,46108.58333,1831.3,,,,,
46154.58333,2128.8,,,46111.58333,1918.9,,,,,
46155.58333,2143.2,,,46112.58333,1913.8,,,,,
46156.58333,2115.9,,,46113.58333,1961.5,,,,,
46157.58333,1981.7,,,46114.58333,1909.3,,,,,
46160.58333,1985.8,,,46118.58333,2001,,,,,
46161.58333,1954.7,,,46119.58333,1951.5,,,,,
46162.58333,1939.9,,,46120.58333,2088.4,,,,,
46163.58333,1929.9,,,46121.58333,2049.4,,,,,
46164.58333,1947,,,46122.58333,2079.9,,,,,
46167.58333,1969.5,,,46125.58333,2039.4,,,,,
46168.58333,1956.9,,,46126.58333,2084,,,,,
46169.58333,1922.5,,,46127.58333,2119.5,,,,,
46170.58333,1906.8,,,46128.58333,2148.2,,,,,
46171.58333,1929.4,,,46129.58333,2166.8,,,,,
46174.58333,1954.2,,,46132.58333,2081.6,,,,,
46175.58333,1968.4,,,46133.58333,2090,,,,,
46176.58333,1916.1,,,46134.58333,2093.5,,,,,
46177.58333,1901.6,,,46135.58333,2040,,,,,
46178.58333,1872.9,,,46136.58333,2000.7,,,,,
46181.58333,1771.9,,,46139.58333,1996.1,,,,,
46182.58333,1779.7,,,46140.58333,1963,,,,,
46183.58333,1677.7,,,46142.58333,1982.2,,,,,
46184.58333,1669.1,,,46146.58333,1993.5,,,,,
46185.58333,1701.9,,,46149.58333,2125.6,,,,,
46188.58333,1803.8,,,46150.58333,2073.7,,,,,
46189.58333,1817.9,,,46153.58333,2105.9,,,,,
46190.58333,1791,,,46154.58333,2148.4,,,,,
46191.58333,1714,,,46155.58333,2163.2,,,,,
46192.58333,1676.9,,,46156.58333,2137.5,,,,,
46195.58333,1682.2,,,46157.58333,2001.1,,,,,
46196.58333,1637.6,,,46163.58333,1951.7,,,,,
46197.58333,1580.1,,,46164.58333,1966.3,,,,,
46198.58333,1591.6,,,46170.58333,1928.9,,,,,
46199.58333,1624.2,,,46175.58333,1986.8,,,,,
46202.58333,1587.1,,,46176.58333,1935.9,,,,,
,,,,46178.58333,1893.7,,,,,
,,,,46181.58333,1790.2,,,,,
,,,,46182.58333,1799.3,,,,,
,,,,46183.58333,1696.3,,,,,
,,,,46184.58333,1686.1,,,,,
,,,,46188.58333,1820,,,,,
,,,,46189.58333,1835.6,,,,,
,,,,46190.58333,1807.6,,,,,
,,,,46191.58333,1732.7,,,,,
,,,,46192.58333,1693.4,,,,,
,,,,46195.58333,1699.5,,,,,
,,,,46196.58333,1655.5,,,,,
,,,,46197.58333,1596,,,,,
,,,,46198.58333,1607.2,,,,,
,,,,46199.58333,1639.1,,,,,
,,,,46202.58333,1603.1,,,,,
,,,,46203.58333,1579.8,,,,,
